City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Turmalina,BR,76.32,clear sky,-17.2856,-42.73,Hotel Cristal
249,Padang,ID,77.52,scattered clouds,-0.9492,100.3543,Mercure Padang
250,Seydi,TM,81.99,clear sky,39.4816,62.9137,Seydi oteli
251,Wajid,SO,78.44,overcast clouds,3.8093,43.2471,xamdihotelresturant114
256,Tautira,PF,79.38,light rain,-17.7333,-149.15,Pension Oaoa
261,Laguna,US,76.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
262,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
265,Half Moon Bay,US,77.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
274,Clarksburg,US,86.11,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
276,Lata,PT,76.77,overcast clouds,40.1629,-8.3327,Casa Maquia
285,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
289,Phan Thiet,VN,77.92,heavy intensity rain,10.9333,108.1,Hotel Saigon-PT
293,Coahuayana,MX,90.0,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
295,Buala,SB,79.63,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
296,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
298,Faanui,PF,80.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
300,Akim Swedru,GH,76.21,broken clouds,5.8938,-1.0164,Green Pearls Inn
309,Lamu,KE,80.82,few clouds,-2.2717,40.902,Lamu House
311,Riachao Das Neves,BR,88.61,overcast clouds,-11.7461,-44.91,Casa Costa
317,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
327,Fasa,IR,80.91,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
330,Barcelos,PT,80.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
331,Mitsamiouli,KM,80.4,clear sky,-11.3847,43.2844,Foyer ADM
336,Srivardhan,IN,81.82,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
337,Miraflores,MX,81.25,broken clouds,19.2167,-98.8083,Hotel Mansión
338,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
339,Aksu,CN,77.07,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
344,Anori,BR,85.46,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
345,Chicago,US,83.28,overcast clouds,41.85,-87.65,Chinatown Hotel
355,Netanya,IL,78.94,few clouds,32.3329,34.8599,King Koresh Hotel
362,Mangrol,IN,82.63,clear sky,21.1167,70.1167,Hotel The Royal Honours
363,Hit,IQ,83.98,overcast clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
370,Siocon,PH,79.52,light rain,7.7061,122.1353,ABS Hotel
383,Vaitape,PF,80.73,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
388,Kieta,PG,78.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
391,Hirara,JP,75.0,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
394,Santa Marta,CO,84.04,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
396,Pauini,BR,86.07,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
397,Juruti,BR,75.29,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
398,Aracati,BR,83.82,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
