City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cockburn Town,TC,2022-05-09 20:33:04,21.4612,-71.1419,79.9,75,100,4.47
68,Cape Town,ZA,2022-05-09 20:33:05,-33.9258,18.4232,55.11,86,0,0.0
69,Marsh Harbour,BS,2022-05-09 20:33:05,26.5412,-77.0636,75.33,69,64,16.02
70,Tasiilaq,GL,2022-05-09 20:33:06,65.6145,-37.6368,35.76,65,94,4.85
71,Kamenka,RU,2022-05-09 20:33:07,51.3223,42.7678,40.5,85,68,13.62
72,Japura,ID,2022-05-09 20:33:07,-0.3167,102.35,75.65,98,99,1.81
73,Egvekinot,RU,2022-05-09 20:33:08,66.3167,-179.1667,21.52,95,68,6.08
74,Okato,NZ,2022-05-09 20:33:09,-39.2,173.8833,57.18,88,51,14.0
75,Khatanga,RU,2022-05-09 20:33:09,71.9667,102.5,32.97,98,100,17.25
76,Dalvik,IS,2022-05-09 20:33:10,65.9702,-18.5286,40.93,99,100,8.93
77,Nador,MA,2022-05-09 20:33:10,35.174,-2.9287,66.45,77,0,3.44
78,Tiksi,RU,2022-05-09 20:33:12,71.6872,128.8694,11.39,89,75,10.96
79,Mahebourg,MU,2022-05-09 20:33:13,-20.4081,57.7,74.25,94,40,1.14
80,Hofn,IS,2022-05-09 20:33:13,64.2539,-15.2082,46.96,79,100,3.13
81,Owando,CG,2022-05-09 20:33:14,-0.4819,15.8999,74.71,86,64,1.9
82,Atuona,PF,2022-05-09 20:33:14,-9.8,-139.0333,78.84,79,19,18.14
83,Aguia Branca,BR,2022-05-09 20:33:15,-18.9831,-40.7403,71.06,73,96,4.59
84,Coquimbo,CL,2022-05-09 20:33:15,-29.9533,-71.3436,64.13,63,0,11.5
85,Bratskoye,RU,2022-05-09 20:33:16,43.6536,44.8889,50.14,74,97,8.86
86,Alofi,NU,2022-05-09 20:31:55,-19.0595,-169.9187,78.69,78,40,9.22
87,Pokhara,NP,2022-05-09 20:33:17,28.2333,83.9833,67.68,75,25,6.91
88,Ribeira Grande,PT,2022-05-09 20:33:18,38.5167,-28.7,66.6,77,20,1.14
89,Madera,US,2022-05-09 20:33:18,37.1666,-119.8343,63.86,21,2,9.46
90,Saldanha,ZA,2022-05-09 20:33:19,-33.0117,17.9442,48.25,82,80,6.33
91,Conde,BR,2022-05-09 20:30:50,-7.2597,-34.9075,76.46,83,75,17.27
92,Ahipara,NZ,2022-05-09 20:34:20,-35.1667,173.1667,63.39,81,22,10.2
93,Zhangjiakou,CN,2022-05-09 20:34:21,40.81,114.8794,46.81,68,4,4.79
94,Campoverde,PE,2022-05-09 20:34:21,-8.4753,-74.8058,91.09,45,74,3.33
95,Bluff,NZ,2022-05-09 20:34:22,-46.6,168.3333,48.79,72,71,6.4
96,Mitrofanovka,RU,2022-05-09 20:34:22,49.9708,39.6939,39.4,86,2,7.45
97,Ponta Delgada,PT,2022-05-09 20:34:23,37.7333,-25.6667,65.12,72,20,6.91
98,Savanur,IN,2022-05-09 20:30:03,14.9667,75.35,76.1,79,100,13.53
99,Port Elizabeth,ZA,2022-05-09 20:30:31,-33.918,25.5701,61.32,92,0,3.44
100,Waipawa,NZ,2022-05-09 20:34:24,-41.4122,175.5153,51.49,79,100,13.89
101,Caapucu,PY,2022-05-09 20:34:25,-26.2167,-57.2,65.03,85,100,6.67
102,Ardakan,IR,2022-05-09 20:34:26,32.31,54.0175,70.38,16,0,8.08
103,Tigtabon,PH,2022-05-09 20:34:26,6.8956,122.1669,81.28,81,100,4.76
104,Chuy,UY,2022-05-09 20:34:27,-33.6971,-53.4616,61.86,92,94,6.73
105,Norman Wells,CA,2022-05-09 20:34:27,65.282,-126.8329,42.84,39,20,18.41
106,Swift Current,CA,2022-05-09 20:34:28,50.2834,-107.8014,49.01,61,100,11.5
107,Lalibela,ET,2022-05-09 20:34:28,12.0333,39.0333,64.74,57,74,6.4
108,Chapais,CA,2022-05-09 20:32:47,49.7834,-74.8492,69.58,45,99,6.58
109,Upernavik,GL,2022-05-09 20:34:29,72.7868,-56.1549,26.62,91,100,3.65
110,Port Alfred,ZA,2022-05-09 20:34:29,-33.5906,26.891,62.49,79,11,4.83
111,Saint-Philippe,RE,2022-05-09 20:34:31,-21.3585,55.7679,71.19,82,17,5.73
112,Valparaiso,CL,2022-05-09 20:34:14,-33.0393,-71.6273,71.83,64,0,16.11
113,Rivadavia,AR,2022-05-09 20:34:32,-33.1905,-68.4608,72.43,41,21,7.18
114,Morondava,MG,2022-05-09 20:34:34,-20.2833,44.2833,73.53,75,0,8.99
115,Yellowknife,CA,2022-05-09 20:34:34,62.456,-114.3525,27.12,59,75,21.85
116,Bengkulu,ID,2022-05-09 20:34:35,-3.8004,102.2655,77.83,83,92,2.82
117,Anadyr,RU,2022-05-09 20:34:35,64.75,177.4833,34.3,69,0,11.18
118,Gat,IL,2022-05-09 20:34:36,31.61,34.7642,74.39,58,0,7.74
119,Sao Gabriel Da Cachoeira,BR,2022-05-09 20:34:36,-0.1303,-67.0892,76.64,88,100,2.15
120,Nicoya,CR,2022-05-09 20:34:37,10.1483,-85.452,87.12,63,66,5.97
121,Lompoc,US,2022-05-09 20:34:37,34.6391,-120.4579,72.57,51,0,27.0
122,Katsuura,JP,2022-05-09 20:34:38,35.1333,140.3,55.42,87,100,17.09
123,Narsaq,GL,2022-05-09 20:34:38,60.9167,-46.05,53.82,79,7,4.29
124,Bandarbeyla,SO,2022-05-09 20:34:39,9.4942,50.8122,82.51,85,80,4.36
